127.0.0.1 - - [30/Aug/2016:12:32:14 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Aug/2016:12:59:40 +0300] "GET /4wheels-Project/common-files/fonts/toms/280747_0_0.eot HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:12:59:49 +0300] "GET /4wheels-Project/pages/Profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:12:59:50 +0300] "POST /4wheels-Project/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:12:59:50 +0300] "GET /4wheels-Project/pages/LoginPage.html HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [30/Aug/2016:12:59:50 +0300] "GET /4wheels-Project/styles/null HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:00:06 +0300] "GET /4wheels-Project/pages/Register.html HTTP/1.1" 200 4110
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:00:06 +0300] "GET /4wheels-Project/styles/null HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:00:41 +0300] "POST /4wheels-Project/RegisterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:00:41 +0300] "GET /4wheels-Project/pages/Profile.html HTTP/1.1" 200 5046
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:00:42 +0300] "GET /4wheels-Project/styles/null HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:05:46 +0300] "GET /4wheels-Project/styles/null HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:20 +0300] "GET /4wheels-Project/pages/Profile.html HTTP/1.1" 200 5046
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:20 +0300] "GET /4wheels-Project/common-files/css/bootstrap.min.css HTTP/1.1" 200 100022
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:20 +0300] "GET /4wheels-Project/styles/properties-93777e0d-947d-d061-2688-a46e45af714d.css HTTP/1.1" 200 799892
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:20 +0300] "GET /4wheels-Project/common-files/js/require.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:20 +0300] "GET /4wheels-Project/common-files/css/base-v4.css HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:20 +0300] "GET /4wheels-Project/common-files/css/fonts-v3.css HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:21 +0300] "GET /4wheels-Project/styles/null HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:21 +0300] "GET /4wheels-Project/common-files/fonts/Basic2/Basic2.woff HTTP/1.1" 200 536496
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:21 +0300] "GET /4wheels-Project/scripts/startup.js HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:21 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:21 +0300] "GET /4wheels-Project/common-files/js/jquery-1.11.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:21 +0300] "GET /4wheels-Project/common-files/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:21 +0300] "GET /4wheels-Project/scripts/previewModel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:21 +0300] "GET /4wheels-Project/scripts/pageLinksModule.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:22 +0300] "GET /4wheels-Project/scripts/metadata.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2016:13:06:22 +0300] "GET /4wheels-Project/common-files/js/knockout-2.2.1.js HTTP/1.1" 304 -
